Date,Price,Open,High,Low,Vol.,Change %
29-May-18,547.75,546.25,549.9,543.25,8.02M,0.29%
28-May-18,546.15,541.7,548,540.95,5.61M,1.42%
25-May-18,538.5,535.6,543.5,532.5,4.59M,0.76%
24-May-18,534.45,521.7,537,521.1,5.19M,2.73%
23-May-18,520.25,522,528.2,519.4,4.43M,-0.58%
22-May-18,523.3,528.4,533.5,520.65,4.71M,-0.67%
21-May-18,526.85,535,537.8,521.85,4.26M,-1.14%
18-May-18,532.9,536.8,540.7,528.5,7.34M,-1.21%
17-May-18,539.45,550,553,536.5,8.55M,-1.92%
16-May-18,550,545,552.75,541.05,9.93M,0.05%
15-May-18,549.7,548,563.5,547.35,6.75M,-0.40%
14-May-18,551.9,551.2,558.9,547.55,5.00M,-0.25%
11-May-18,553.3,548.6,556.5,545.5,4.96M,1.03%
10-May-18,547.65,548.5,554,542.95,11.42M,-0.15%
9-May-18,548.5,543.1,549.65,537.05,7.56M,1.15%
8-May-18,542.25,536.65,547.5,533.45,12.03M,1.15%
7-May-18,536.1,523.75,537.9,523,6.79M,3.04%
4-May-18,520.3,533.9,533.9,519.05,5.93M,-2.46%
3-May-18,533.4,522,538.8,522,12.00M,1.84%
2-May-18,523.75,518.5,527.95,515.4,25.20M,1.25%
30-Apr-18,517.3,535.8,536.1,513.4,18.36M,-4.06%
